Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -3.128687          -358.925193          0.217186                0.811282
1                          38.039812          -51.297671          0.228030                0.275990
2                          379.554097          167.897399          0.199123                0.502308
3                          -14.786700          163.193727          0.623110                0.638432
4                          -365.459736          -243.403579          0.659966                0.386066
5                          -19.174123          -338.104706          0.510398                0.048372
6                          -10.552991          293.098858          0.713971                0.193779
7                          -170.094584          268.309540          0.591979                0.416849
8                          -96.602108          153.275326          0.594405                0.592629
9                          -495.227375          17.065062          0.113179                0.853279
10                          70.324197          180.173143          0.750282                0.348106
11                          269.904745          460.600777          0.216898                0.115462
12                          82.126649          29.631815          0.562874                0.393586
13                          -342.627376          -333.406540          0.244717                0.330291
14                          25.879820          -481.478400          0.932330                0.148574
15                          6.069092          38.434917          0.318053                0.037846
16                          91.488005          -493.611839          0.609545                0.678595
17                          -540.578374          319.018932          0.258369                0.714431
18                          61.032122          -74.920408          0.098336                0.465615
19                          27.117472          -322.407760          0.702715                0.372360
20                          -266.040032          162.081219          0.890665                0.410811
21                          -44.735278          136.968520          0.628902                0.368826
22                          171.875515          -339.308414          0.255354                0.589415
23                          0.669019          74.448264          0.017221                0.633733
24                          -93.706794          -191.209042          0.985060                0.402270
25                          -152.684112          -211.735617          0.615955                0.593556
26                          -236.955979          79.605298          0.967745                0.819456
27                          20.964047          -109.601130          0.311815                0.423155
28                          -79.170119          -3.063511          0.459477                0.851737
29                          75.870054          276.952861          0.122761                0.657912
30                          675.154226          68.159368          0.757220                0.735406
31                          -10.977173          -497.355761          0.610412                0.834711
32                          -83.523903          -169.463198          0.314576                0.423245
33                          409.087597          -221.550408          0.978701                0.099989
34                          228.644321          -193.761570          0.885293                0.622537
35                          1.990938          301.307013          0.835656                0.781531
36                          -502.363682          -62.291979          0.535856                0.776773
37                          -105.420662          119.020077          0.609373                0.308892
38                          201.266723          55.225474          0.653805                0.088744
39                          301.907471          47.319829          0.542722                0.746285
